district_id,year,export_crop_area_pct,subsistence_area_pct,avg_holding_size_ha,export_volume_ratio,commercialization_score
1,2014,12.88,87.12,0.8,2.8,10.79
1,2015,11.21,88.79,0.81,3.04,10.25
1,2016,18.99,81.01,0.82,5.03,14.02
1,2017,15.91,84.09,0.83,5.04,12.85
1,2018,16.51,83.49,0.84,4.94,13.13
1,2019,18.39,81.61,0.85,6.49,14.4
1,2020,18.07,81.93,0.86,4.51,13.74
1,2021,11.54,88.46,0.87,3.82,10.99
1,2022,13.41,86.59,0.88,3.55,11.71
1,2023,10.11,89.89,0.89,2.06,10.01
1,2024,11.95,88.05,0.9,3.57,11.26
2,2014,9.43,90.57,0.86,3.38,9.97
2,2015,11.16,88.84,0.88,3.49,10.77
2,2016,14.74,85.26,0.89,4.15,12.46
2,2017,15.74,84.26,0.9,4.1,12.91
2,2018,14.27,85.73,0.91,4.62,12.55
2,2019,14.58,85.42,0.92,4.62,12.74
2,2020,10.15,89.85,0.93,2.54,10.41
2,2021,14.6,85.4,0.94,4.32,12.79
2,2022,15.0,85.0,0.95,4.16,12.97
2,2023,6.49,93.51,0.96,1.52,8.84
2,2024,12.9,87.1,0.98,4.23,12.28
3,2014,13.31,86.69,0.89,4.03,11.89
3,2015,8.39,91.61,0.9,1.61,9.26
3,2016,11.97,88.03,0.92,2.95,11.17
3,2017,15.98,84.02,0.93,3.6,13.03
3,2018,12.9,87.1,0.94,3.84,11.94
3,2019,11.94,88.06,0.95,3.17,11.43
3,2020,12.35,87.65,0.96,2.52,11.46
3,2021,12.7,87.3,0.97,4.41,12.24
3,2022,15.99,84.01,0.98,4.91,13.77
3,2023,8.25,91.75,1.0,3.99,10.47
3,2024,11.63,88.37,1.01,3.77,11.83
4,2014,13.82,86.18,1.13,4.89,13.76
4,2015,9.98,90.02,1.14,3.64,11.94
4,2016,16.99,83.01,1.16,3.77,14.87
4,2017,11.93,88.07,1.17,3.97,12.99
4,2018,16.13,83.87,1.19,5.53,15.22
4,2019,15.14,84.86,1.2,2.99,14.15
4,2020,11.93,88.07,1.21,2.84,12.91
4,2021,10.58,89.42,1.23,2.4,12.33
4,2022,14.28,85.72,1.24,3.14,14.12
4,2023,13.51,86.49,1.26,2.68,13.75
4,2024,15.94,84.06,1.27,3.86,15.16
5,2014,10.56,89.44,1.03,2.37,11.14
5,2015,11.85,88.15,1.05,2.63,11.81
5,2016,12.07,87.93,1.06,1.97,11.78
5,2017,18.11,81.89,1.07,5.06,15.2
5,2018,12.03,87.97,1.09,4.05,12.55
5,2019,15.78,84.22,1.1,3.69,14.02
5,2020,14.54,85.46,1.11,3.33,13.49
5,2021,16.31,83.69,1.13,6.25,15.15
5,2022,12.17,87.83,1.14,2.79,12.54
5,2023,11.1,88.9,1.15,2.33,12.05
5,2024,9.97,90.03,1.17,2.02,11.59
6,2014,17.27,82.73,1.08,5.38,15.01
6,2015,13.33,86.67,1.09,2.4,12.62
6,2016,14.53,85.47,1.11,4.88,13.93
6,2017,14.59,85.41,1.12,3.74,13.69
6,2018,13.37,86.63,1.14,3.78,13.3
6,2019,11.51,88.49,1.15,3.15,12.45
6,2020,17.9,82.1,1.16,8.23,16.61
6,2021,12.75,87.25,1.18,3.19,13.12
6,2022,16.03,83.97,1.19,6.42,15.49
6,2023,15.17,84.83,1.21,3.91,14.47
6,2024,16.64,83.36,1.22,4.45,15.3
7,2014,14.68,85.32,0.83,4.26,12.11
7,2015,12.86,87.14,0.84,3.4,11.19
7,2016,17.61,82.39,0.85,3.74,13.26
7,2017,14.61,85.39,0.86,4.3,12.29
7,2018,16.77,83.23,0.87,8.23,14.39
7,2019,12.31,87.69,0.88,3.59,11.28
7,2020,11.98,88.02,0.89,2.57,10.9
7,2021,9.75,90.25,0.9,1.99,9.91
7,2022,14.13,85.87,0.91,4.72,12.54
7,2023,13.71,86.29,0.92,4.16,12.27
7,2024,15.7,84.3,0.93,4.9,13.35
8,2014,12.4,87.6,0.89,3.81,11.46
8,2015,19.29,80.71,0.9,4.22,14.41
8,2016,18.43,81.57,0.92,4.75,14.29
8,2017,14.2,85.8,0.93,4.32,12.54
8,2018,11.77,88.23,0.94,2.75,11.16
8,2019,11.39,88.61,0.95,3.24,11.23
8,2020,12.01,87.99,0.96,3.13,11.51
8,2021,13.83,86.17,0.97,4.78,12.8
8,2022,18.47,81.53,0.98,5.96,15.08
8,2023,16.28,83.72,1.0,4.81,13.93
8,2024,12.61,87.39,1.01,3.99,12.28
9,2014,11.43,88.57,0.7,3.1,9.73
9,2015,15.64,84.36,0.71,2.87,11.4
9,2016,14.65,85.35,0.72,3.45,11.24
9,2017,15.44,84.56,0.73,3.79,11.71
9,2018,12.99,87.01,0.74,2.91,10.51
9,2019,15.71,84.29,0.75,4.28,12.07
9,2020,15.76,84.24,0.76,4.87,12.32
9,2021,14.61,85.39,0.77,3.7,11.56
9,2022,16.36,83.64,0.78,4.98,12.7
9,2023,14.05,85.95,0.79,2.72,11.15
9,2024,14.2,85.8,0.8,4.66,11.85
10,2014,11.93,88.07,0.77,3.44,10.43
10,2015,11.56,88.44,0.78,2.33,10.01
10,2016,13.45,86.55,0.79,3.02,11.03
10,2017,10.55,89.45,0.8,2.95,9.91
10,2018,13.61,86.39,0.81,4.03,11.51
10,2019,16.33,83.67,0.82,4.44,12.79
10,2020,16.77,83.23,0.83,3.75,12.81
10,2021,13.67,86.33,0.84,4.19,11.76
10,2022,14.83,85.17,0.85,3.65,12.12
10,2023,7.88,92.12,0.86,1.6,8.79
10,2024,13.89,86.11,0.87,3.81,11.91
11,2014,14.09,85.91,0.66,4.97,11.08
11,2015,13.63,86.37,0.67,2.52,10.21
11,2016,15.58,84.42,0.67,4.87,11.74
11,2017,9.94,90.06,0.68,3.25,9.05
11,2018,8.5,91.5,0.69,1.4,7.97
11,2019,19.09,80.91,0.7,3.6,12.92
11,2020,10.83,89.17,0.71,2.28,9.27
11,2021,20.03,79.97,0.72,8.12,14.75
11,2022,13.94,86.06,0.73,3.15,10.87
11,2023,11.54,88.46,0.73,2.04,9.63
11,2024,14.28,85.72,0.74,5.48,11.81
12,2014,15.1,84.9,0.73,3.91,11.61
12,2015,13.01,86.99,0.74,4.21,10.92
12,2016,10.73,89.27,0.75,3.15,9.75
12,2017,15.71,84.29,0.76,4.22,12.11
12,2018,20.14,79.86,0.77,6.35,14.58
12,2019,17.63,82.37,0.78,4.25,13.01
12,2020,15.04,84.96,0.79,4.37,12.06
12,2021,17.77,82.23,0.8,4.34,13.2
12,2022,12.75,87.25,0.81,3.17,10.9
12,2023,13.96,86.04,0.82,4.49,11.83
12,2024,15.27,84.73,0.83,3.41,12.09
13,2014,15.57,84.43,0.75,5.78,12.47
13,2015,15.98,84.02,0.76,4.7,12.37
13,2016,14.08,85.92,0.77,4.11,11.49
13,2017,14.07,85.93,0.78,3.19,11.27
13,2018,11.65,88.35,0.79,2.49,10.15
13,2019,17.9,82.1,0.8,4.48,13.3
13,2020,9.6,90.4,0.81,3.37,9.71
13,2021,12.66,87.34,0.82,2.78,10.82
13,2022,14.18,85.82,0.83,3.97,11.83
13,2023,19.8,80.2,0.84,4.89,14.42
13,2024,16.68,83.32,0.85,3.48,12.8
14,2014,14.23,85.77,0.85,4.36,12.08
14,2015,13.52,86.48,0.86,3.86,11.71
14,2016,13.01,86.99,0.87,2.42,11.13
14,2017,18.58,81.42,0.88,5.86,14.46
14,2018,12.73,87.27,0.89,4.73,11.85
14,2019,15.0,85.0,0.9,4.64,12.79
14,2020,14.31,85.69,0.91,3.9,12.36
14,2021,17.75,82.25,0.92,4.32,13.92
14,2022,14.35,85.65,0.93,3.35,12.34
14,2023,16.98,83.02,0.94,5.25,14.02
14,2024,12.33,87.67,0.95,2.56,11.42
15,2014,15.92,84.08,1.27,3.59,15.06
15,2015,9.49,90.51,1.29,2.79,12.34
15,2016,13.65,86.35,1.3,3.38,14.28
