id,name,province,region,latitude,longitude,population,area_sq_km
1,Taplejung,Koshi,Mountain,27.3333,87.6167,132000,3708.00
2,Panchthar,Koshi,Mountain,27.2333,87.9333,222000,2452.00
3,Ilam,Koshi,Hill,26.7333,86.9333,299000,1937.00
4,Jhapa,Koshi,Terai,26.6333,88.0667,811000,2523.00
5,Morang,Koshi,Terai,26.5667,87.3333,968000,2513.00
6,Sunsari,Koshi,Terai,26.7167,87.1667,532000,2066.00
7,Dhankuta,Koshi,Hill,26.9833,87.0333,227000,1506.00
8,Sankhuwasabha,Koshi,Mountain,28.0333,87.1667,67000,3119.00
9,Bhojpur,Koshi,Hill,27.2167,87.1500,183000,3129.00
10,Okhaldhunga,Koshi,Hill,27.2833,86.7500,195000,2003.00
11,Khotang,Koshi,Hill,27.3167,86.6000,164000,2714.00
12,Solukhumbu,Koshi,Mountain,27.6167,86.6667,102000,3640.00
13,Udayapur,Koshi,Hill,27.2167,86.8167,219000,2263.00
14,Saptari,Madhesh,Terai,26.6833,86.5333,811000,1231.00
15,Siraha,Madhesh,Terai,26.6333,86.0167,612000,1368.00
16,Mahottari,Madhesh,Terai,26.8500,85.7500,525000,852.00
17,Dhading,Bagmati,Hill,28.0333,84.7500,253000,2138.00
18,Gorkha,Bagmati,Hill,28.1167,84.8833,203000,1926.00
19,Manang,Bagmati,Mountain,28.6333,84.0333,32000,4136.00
20,Narayani,Bagmati,Terai,27.5833,84.0500,642000,2282.00
21,Kathmandu,Bagmati,Hill,27.7172,85.3240,1200000,899.25
22,Lalitpur,Bagmati,Hill,27.6333,85.2983,441000,385.20
23,Bhaktapur,Bagmati,Hill,27.6519,85.3897,266000,119.36
24,Chitwan,Bagmati,Terai,27.5333,84.2833,653000,1339.00
25,Parbat,Bagmati,Hill,27.9333,83.9167,223000,1219.00
26,Kaski,Bagmati,Hill,28.2000,83.9667,344000,2349.00
27,Mustang,Bagmati,Mountain,28.7667,83.4667,115000,3029.00
28,Myagdi,Bagmati,Hill,28.6500,83.6333,145000,2258.00
29,Pokhara,Bagmati,Hill,28.2000,83.9667,384000,2376.00
30,Baglung,Bagmati,Hill,28.2667,83.6500,236000,1898.00
31,Syangja,Gandaki,Hill,28.0333,83.8333,319000,2311.00
32,Rolpa,Lumbini,Hill,28.0167,82.7000,149000,1224.00
33,Pyuthan,Lumbini,Hill,28.0167,83.0167,224000,1794.00
34,Kapilbastu,Lumbini,Terai,27.4333,82.8833,574000,1741.00
