district_id,crop_id,year,production_mt,area_harvested_ha,yield_kg_ha,data_source,data_quality
1,1,2014,458413.57,150444.83,3047.05,FAOSTAT,Official
1,1,2015,1265946.24,451480.81,2803.99,FAOSTAT,Estimated
1,1,2016,834979.04,277409.88,3009.91,FAOSTAT,Estimated
1,1,2017,953355.61,342448.0,2783.94,FAOSTAT,Official
1,1,2018,113990.82,52924.44,2153.84,FAOSTAT,Official
1,1,2019,492357.4,203112.73,2424.06,FAOSTAT,Estimated
1,1,2020,256993.56,93522.37,2747.94,FAOSTAT,Official
1,1,2021,1209547.33,413207.72,2927.21,FAOSTAT,Official
1,1,2022,936378.09,298418.28,3137.8,FAOSTAT,Official
1,1,2023,1198467.21,437768.11,2737.68,FAOSTAT,Official
1,1,2024,555947.47,180224.58,3084.75,FAOSTAT,Estimated
1,2,2014,269799.51,95450.64,2826.59,FAOSTAT,Official
1,2,2015,363250.89,144278.16,2517.71,FAOSTAT,Official
1,2,2016,1041098.38,341615.92,3047.57,FAOSTAT,Official
1,2,2017,596820.1,220754.95,2703.54,FAOSTAT,Official
1,2,2018,767176.52,300627.38,2551.92,FAOSTAT,Official
1,2,2019,183626.48,64445.11,2849.35,FAOSTAT,Official
1,2,2020,357033.24,144942.28,2463.28,FAOSTAT,Official
1,2,2021,596760.31,228034.36,2616.98,FAOSTAT,Official
1,2,2022,552358.41,169196.07,3264.61,FAOSTAT,Official
1,2,2023,1246992.38,454020.3,2746.56,FAOSTAT,Official
1,2,2024,1596604.77,498891.92,3200.3,FAOSTAT,Official
1,3,2014,971418.13,332350.72,2922.87,FAOSTAT,Official
1,3,2015,220302.69,78587.47,2803.28,FAOSTAT,Official
1,3,2016,786446.97,437350.87,1798.21,FAOSTAT,Estimated
1,3,2017,924910.76,356769.67,2592.46,FAOSTAT,Official
1,3,2018,643901.24,245644.36,2621.27,FAOSTAT,Official
1,3,2019,1189387.34,444133.82,2677.99,FAOSTAT,Official
1,3,2020,1379958.47,441733.36,3123.96,FAOSTAT,Official
1,3,2021,1146438.79,324036.6,3537.99,FAOSTAT,Estimated
1,3,2022,632482.96,288659.15,2191.11,FAOSTAT,Estimated
1,3,2023,151227.21,58764.53,2573.44,FAOSTAT,Official
1,3,2024,230290.41,76066.32,3027.49,FAOSTAT,Official
1,4,2014,218696.72,88544.05,2469.92,FAOSTAT,Official
1,4,2015,300077.37,107776.16,2784.26,FAOSTAT,Official
1,4,2016,358851.38,169275.48,2119.93,FAOSTAT,Official
1,4,2017,1083452.6,378468.98,2862.72,FAOSTAT,Official
1,4,2018,1590355.78,497817.21,3194.66,FAOSTAT,Official
1,4,2019,387677.12,151113.8,2565.46,FAOSTAT,Official
1,4,2020,423381.2,153551.63,2757.26,FAOSTAT,Official
1,4,2021,1147570.2,457439.01,2508.68,FAOSTAT,Official
1,4,2022,390519.9,157102.09,2485.77,FAOSTAT,Official
1,4,2023,1012973.72,306969.39,3299.92,FAOSTAT,Official
1,4,2024,1444698.78,413373.65,3494.9,FAOSTAT,Estimated
1,5,2014,622496.05,260161.1,2392.73,FAOSTAT,Official
1,5,2015,1440217.24,492874.35,2922.08,FAOSTAT,Estimated
1,5,2016,380976.59,161895.35,2353.23,FAOSTAT,Estimated
1,5,2017,811920.94,239846.74,3385.17,FAOSTAT,Official
1,5,2018,1354173.85,437607.1,3094.5,FAOSTAT,Official
1,5,2019,1258275.94,499677.11,2518.18,FAOSTAT,Official
1,5,2020,435382.11,124840.0,3487.52,FAOSTAT,Official
1,5,2021,551310.42,230468.13,2392.13,FAOSTAT,Estimated
1,5,2022,1224181.38,402831.77,3038.94,FAOSTAT,Official
1,5,2023,1311622.45,480792.94,2728.04,FAOSTAT,Official
1,5,2024,503951.91,183518.52,2746.05,FAOSTAT,Official
1,6,2014,745783.83,293987.84,2536.78,FAOSTAT,Official
1,6,2015,1023008.04,433723.95,2358.66,FAOSTAT,Estimated
1,6,2016,219800.71,86050.16,2554.33,FAOSTAT,Estimated
1,6,2017,274454.37,103948.98,2640.28,FAOSTAT,Official
1,6,2018,790584.78,317533.62,2489.77,FAOSTAT,Official
1,6,2019,1109651.18,470617.82,2357.86,FAOSTAT,Official
1,6,2020,404306.99,157408.68,2568.52,FAOSTAT,Official
1,6,2021,1047164.31,388339.02,2696.52,FAOSTAT,Estimated
1,6,2022,1534162.5,499304.5,3072.6,FAOSTAT,Official
1,6,2023,1289603.58,469966.72,2744.03,FAOSTAT,Official
1,6,2024,682680.23,216287.19,3156.36,FAOSTAT,Estimated
1,7,2014,1285834.31,494254.88,2601.56,FAOSTAT,Official
1,7,2015,938241.58,417696.86,2246.23,FAOSTAT,Official
1,7,2016,300722.88,101942.9,2949.91,FAOSTAT,Estimated
1,7,2017,463504.17,172556.7,2686.1,FAOSTAT,Official
1,7,2018,495346.06,168792.76,2934.64,FAOSTAT,Official
1,7,2019,1431190.21,430746.67,3322.58,FAOSTAT,Estimated
1,7,2020,1091070.31,397003.65,2748.26,FAOSTAT,Official
1,7,2021,1057460.43,383553.91,2757.01,FAOSTAT,Official
1,7,2022,1299060.23,447397.88,2903.59,FAOSTAT,Official
1,7,2023,1188084.79,425567.76,2791.76,FAOSTAT,Official
1,7,2024,1323240.17,454541.67,2911.15,FAOSTAT,Official
1,8,2014,6311751.24,454516.09,13886.75,FAOSTAT,Official
1,8,2015,6997170.83,447860.62,15623.55,FAOSTAT,Official
1,8,2016,1777468.49,119549.0,14868.12,FAOSTAT,Official
1,8,2017,7411797.75,446637.29,16594.67,FAOSTAT,Estimated
1,8,2018,2378270.23,199483.46,11922.14,FAOSTAT,Official
1,8,2019,2592964.47,170062.57,15247.12,FAOSTAT,Official
1,8,2020,4141893.9,442475.05,9360.74,FAOSTAT,Official
1,8,2021,2526070.37,187335.89,13484.18,FAOSTAT,Official
1,8,2022,617536.35,60649.0,10182.14,FAOSTAT,Estimated
1,8,2023,2871253.0,175606.25,16350.52,FAOSTAT,Official
1,8,2024,3970449.74,491517.36,8077.94,FAOSTAT,Official
1,9,2014,2212083.56,130355.52,16969.62,FAOSTAT,Official
1,9,2015,1625367.33,98781.15,16454.23,FAOSTAT,Official
1,9,2016,3171174.16,280140.38,11319.95,FAOSTAT,Official
1,9,2017,2525748.9,164625.13,15342.43,FAOSTAT,Official
1,9,2018,5590345.16,373743.5,14957.71,FAOSTAT,Official
1,9,2019,2411209.28,213899.66,11272.62,FAOSTAT,Estimated
1,9,2020,5005158.06,431606.88,11596.57,FAOSTAT,Official
1,9,2021,2684985.14,189178.1,14192.9,FAOSTAT,Official
1,9,2022,2910662.34,239200.85,12168.28,FAOSTAT,Official
1,9,2023,6245558.41,456262.5,13688.52,FAOSTAT,Official
1,9,2024,2223487.36,179111.17,12414.01,FAOSTAT,Official
1,10,2014,4301164.09,344617.53,12480.98,FAOSTAT,Official
1,10,2015,5956990.84,455531.37,13077.02,FAOSTAT,Official
1,10,2016,1319717.03,88157.99,14969.91,FAOSTAT,Official
1,10,2017,4034379.75,388012.16,10397.56,FAOSTAT,Official
1,10,2018,2241746.16,139608.47,16057.38,FAOSTAT,Estimated
1,10,2019,674865.74,82772.7,8153.24,FAOSTAT,Official
1,10,2020,1817152.45,137495.86,13216.05,FAOSTAT,Official
1,10,2021,663577.54,52495.17,12640.74,FAOSTAT,Official
1,10,2022,1553610.18,97964.28,15858.94,FAOSTAT,Official
1,10,2023,1094309.71,72598.27,15073.5,FAOSTAT,Official
1,10,2024,3039994.8,255407.82,11902.51,FAOSTAT,Official
1,11,2014,7410258.42,477517.82,15518.29,FAOSTAT,Official
1,11,2015,4586936.45,373673.28,12275.26,FAOSTAT,Official
1,11,2016,3053136.03,384644.95,7937.54,FAOSTAT,Official
1,11,2017,1784719.38,161257.88,11067.49,FAOSTAT,Official
1,11,2018,1632587.98,173568.85,9406.0,FAOSTAT,Estimated
1,11,2019,2078326.31,172271.8,12064.23,FAOSTAT,Official
1,11,2020,4917550.38,362277.42,13573.99,FAOSTAT,Official
1,11,2021,3195027.28,233419.72,13687.91,FAOSTAT,Official
1,11,2022,6003865.88,457177.32,13132.47,FAOSTAT,Official
1,11,2023,6458744.34,435529.41,14829.64,FAOSTAT,Official
1,11,2024,5675926.71,389063.81,14588.68,FAOSTAT,Official
1,12,2014,3000505.69,238559.58,12577.59,FAOSTAT,Official
1,12,2015,1671543.91,148739.74,11238.05,FAOSTAT,Official
1,12,2016,2318860.69,201258.29,11521.81,FAOSTAT,Official
1,12,2017,1480991.8,107432.51,13785.32,FAOSTAT,Official
1,12,2018,3327102.06,227309.12,14636.91,FAOSTAT,Official
1,12,2019,3014583.35,257764.3,11695.12,FAOSTAT,Estimated
1,12,2020,1677217.83,145247.13,11547.34,FAOSTAT,Official
1,12,2021,4175064.95,424365.93,9838.36,FAOSTAT,Official
1,12,2022,882216.49,58722.48,15023.49,FAOSTAT,Official
1,12,2023,4304232.25,401554.87,10718.91,FAOSTAT,Official
1,12,2024,7268316.93,477325.28,15227.18,FAOSTAT,Estimated
1,13,2014,4627026.17,351256.48,13172.79,FAOSTAT,Official
1,13,2015,4906457.83,364759.24,13451.22,FAOSTAT,Official
1,13,2016,971688.66,101539.79,9569.54,FAOSTAT,Official
1,13,2017,1007308.14,98644.44,10211.5,FAOSTAT,Estimated
1,13,2018,2283173.24,228494.5,9992.25,FAOSTAT,Official
1,13,2019,2659237.68,360776.49,7370.87,FAOSTAT,Official
1,13,2020,4185658.05,320185.23,13072.61,FAOSTAT,Estimated
1,13,2021,3322398.64,402185.91,8260.85,FAOSTAT,Official
1,13,2022,2171839.19,203554.03,10669.6,FAOSTAT,Official
1,13,2023,1417175.25,97492.49,14536.25,FAOSTAT,Official
1,13,2024,3500854.44,245969.22,14232.9,FAOSTAT,Official
1,14,2014,1611683.58,171537.08,9395.54,FAOSTAT,Official
