district_id,crop_id,forecast_month,forecast_yield_kg_ha,lower_ci_95,upper_ci_95,forecast_model,rmse_kg_ha,mae_kg_ha,mape_pct,forecast_date
1,1,2025-01-01,2816.95,2521.82,3112.08,ExponentialSmoothing,281.08,218.33,8.31,2024-08-01T00:00:00+00:00
1,1,2025-02-01,2819.97,2510.78,3129.16,ExponentialSmoothing,281.08,218.33,8.31,2024-08-01T00:00:00+00:00
1,1,2025-03-01,2822.99,2499.75,3146.23,ExponentialSmoothing,281.08,218.33,8.31,2024-08-01T00:00:00+00:00
1,1,2025-04-01,2826.02,2488.72,3163.32,ExponentialSmoothing,281.08,218.33,8.31,2024-08-01T00:00:00+00:00
1,1,2025-05-01,2829.04,2477.69,3180.39,ExponentialSmoothing,281.08,218.33,8.31,2024-08-01T00:00:00+00:00
1,1,2025-06-01,2832.06,2466.66,3197.46,ExponentialSmoothing,281.08,218.33,8.31,2024-08-01T00:00:00+00:00
1,1,2025-07-01,2835.09,2455.63,3214.55,ExponentialSmoothing,281.08,218.33,8.31,2024-08-01T00:00:00+00:00
1,1,2025-08-01,2838.11,2444.6,3231.62,ExponentialSmoothing,281.08,218.33,8.31,2024-08-01T00:00:00+00:00
1,1,2025-09-01,2841.13,2433.56,3248.7,ExponentialSmoothing,281.08,218.33,8.31,2024-08-01T00:00:00+00:00
1,1,2025-10-01,2844.15,2422.53,3265.77,ExponentialSmoothing,281.08,218.33,8.31,2024-08-01T00:00:00+00:00
1,1,2025-11-01,2847.18,2411.51,3282.85,ExponentialSmoothing,281.08,218.33,8.31,2024-08-01T00:00:00+00:00
1,1,2025-12-01,2850.2,2400.47,3299.93,ExponentialSmoothing,281.08,218.33,8.31,2024-08-01T00:00:00+00:00
2,1,2025-01-01,2911.28,2517.96,3304.6,ExponentialSmoothing,374.59,303.42,10.33,2024-08-01T00:00:00+00:00
2,1,2025-02-01,2914.75,2502.7,3326.8,ExponentialSmoothing,374.59,303.42,10.33,2024-08-01T00:00:00+00:00
2,1,2025-03-01,2918.22,2487.44,3349.0,ExponentialSmoothing,374.59,303.42,10.33,2024-08-01T00:00:00+00:00
2,1,2025-04-01,2921.69,2472.18,3371.2,ExponentialSmoothing,374.59,303.42,10.33,2024-08-01T00:00:00+00:00
2,1,2025-05-01,2925.16,2456.92,3393.4,ExponentialSmoothing,374.59,303.42,10.33,2024-08-01T00:00:00+00:00
2,1,2025-06-01,2928.63,2441.66,3415.6,ExponentialSmoothing,374.59,303.42,10.33,2024-08-01T00:00:00+00:00
2,1,2025-07-01,2932.11,2426.41,3437.81,ExponentialSmoothing,374.59,303.42,10.33,2024-08-01T00:00:00+00:00
2,1,2025-08-01,2935.58,2411.15,3460.01,ExponentialSmoothing,374.59,303.42,10.33,2024-08-01T00:00:00+00:00
2,1,2025-09-01,2939.05,2395.89,3482.21,ExponentialSmoothing,374.59,303.42,10.33,2024-08-01T00:00:00+00:00
2,1,2025-10-01,2942.52,2380.63,3504.41,ExponentialSmoothing,374.59,303.42,10.33,2024-08-01T00:00:00+00:00
2,1,2025-11-01,2945.99,2365.37,3526.61,ExponentialSmoothing,374.59,303.42,10.33,2024-08-01T00:00:00+00:00
2,1,2025-12-01,2949.46,2350.11,3548.81,ExponentialSmoothing,374.59,303.42,10.33,2024-08-01T00:00:00+00:00
3,1,2025-01-01,2912.46,2494.51,3330.41,ExponentialSmoothing,398.05,337.27,11.85,2024-08-01T00:00:00+00:00
3,1,2025-02-01,2912.7,2474.85,3350.55,ExponentialSmoothing,398.05,337.27,11.85,2024-08-01T00:00:00+00:00
3,1,2025-03-01,2912.94,2455.19,3370.69,ExponentialSmoothing,398.05,337.27,11.85,2024-08-01T00:00:00+00:00
3,1,2025-04-01,2913.18,2435.53,3390.83,ExponentialSmoothing,398.05,337.27,11.85,2024-08-01T00:00:00+00:00
3,1,2025-05-01,2913.42,2415.86,3410.98,ExponentialSmoothing,398.05,337.27,11.85,2024-08-01T00:00:00+00:00
3,1,2025-06-01,2913.65,2396.19,3431.11,ExponentialSmoothing,398.05,337.27,11.85,2024-08-01T00:00:00+00:00
3,1,2025-07-01,2913.89,2376.53,3451.25,ExponentialSmoothing,398.05,337.27,11.85,2024-08-01T00:00:00+00:00
3,1,2025-08-01,2914.13,2356.87,3471.39,ExponentialSmoothing,398.05,337.27,11.85,2024-08-01T00:00:00+00:00
3,1,2025-09-01,2914.37,2337.2,3491.54,ExponentialSmoothing,398.05,337.27,11.85,2024-08-01T00:00:00+00:00
3,1,2025-10-01,2914.61,2317.54,3511.68,ExponentialSmoothing,398.05,337.27,11.85,2024-08-01T00:00:00+00:00
3,1,2025-11-01,2914.85,2297.88,3531.82,ExponentialSmoothing,398.05,337.27,11.85,2024-08-01T00:00:00+00:00
3,1,2025-12-01,2915.09,2278.22,3551.96,ExponentialSmoothing,398.05,337.27,11.85,2024-08-01T00:00:00+00:00
4,1,2025-01-01,2689.51,2373.27,3005.75,ARIMA,301.18,219.7,8.51,2024-08-01T00:00:00+00:00
4,1,2025-02-01,2695.89,2364.59,3027.19,ARIMA,301.18,219.7,8.51,2024-08-01T00:00:00+00:00
4,1,2025-03-01,2702.28,2355.92,3048.64,ARIMA,301.18,219.7,8.51,2024-08-01T00:00:00+00:00
4,1,2025-04-01,2708.66,2347.24,3070.08,ARIMA,301.18,219.7,8.51,2024-08-01T00:00:00+00:00
4,1,2025-05-01,2715.04,2338.56,3091.52,ARIMA,301.18,219.7,8.51,2024-08-01T00:00:00+00:00
4,1,2025-06-01,2721.42,2329.88,3112.96,ARIMA,301.18,219.7,8.51,2024-08-01T00:00:00+00:00
4,1,2025-07-01,2727.81,2321.21,3134.41,ARIMA,301.18,219.7,8.51,2024-08-01T00:00:00+00:00
4,1,2025-08-01,2734.19,2312.53,3155.85,ARIMA,301.18,219.7,8.51,2024-08-01T00:00:00+00:00
4,1,2025-09-01,2740.57,2303.85,3177.29,ARIMA,301.18,219.7,8.51,2024-08-01T00:00:00+00:00
4,1,2025-10-01,2746.95,2295.17,3198.73,ARIMA,301.18,219.7,8.51,2024-08-01T00:00:00+00:00
4,1,2025-11-01,2753.34,2286.51,3220.17,ARIMA,301.18,219.7,8.51,2024-08-01T00:00:00+00:00
4,1,2025-12-01,2759.72,2277.83,3241.61,ARIMA,301.18,219.7,8.51,2024-08-01T00:00:00+00:00
5,1,2025-01-01,2734.84,2573.55,2896.13,ARIMA,153.61,132.18,4.89,2024-08-01T00:00:00+00:00
5,1,2025-02-01,2743.84,2574.87,2912.81,ARIMA,153.61,132.18,4.89,2024-08-01T00:00:00+00:00
5,1,2025-03-01,2752.84,2576.19,2929.49,ARIMA,153.61,132.18,4.89,2024-08-01T00:00:00+00:00
5,1,2025-04-01,2761.84,2577.51,2946.17,ARIMA,153.61,132.18,4.89,2024-08-01T00:00:00+00:00
5,1,2025-05-01,2770.83,2578.82,2962.84,ARIMA,153.61,132.18,4.89,2024-08-01T00:00:00+00:00
5,1,2025-06-01,2779.83,2580.14,2979.52,ARIMA,153.61,132.18,4.89,2024-08-01T00:00:00+00:00
5,1,2025-07-01,2788.83,2581.46,2996.2,ARIMA,153.61,132.18,4.89,2024-08-01T00:00:00+00:00
5,1,2025-08-01,2797.83,2582.78,3012.88,ARIMA,153.61,132.18,4.89,2024-08-01T00:00:00+00:00
5,1,2025-09-01,2806.82,2584.09,3029.55,ARIMA,153.61,132.18,4.89,2024-08-01T00:00:00+00:00
5,1,2025-10-01,2815.82,2585.41,3046.23,ARIMA,153.61,132.18,4.89,2024-08-01T00:00:00+00:00
5,1,2025-11-01,2824.82,2586.73,3062.91,ARIMA,153.61,132.18,4.89,2024-08-01T00:00:00+00:00
5,1,2025-12-01,2833.82,2588.05,3079.59,ARIMA,153.61,132.18,4.89,2024-08-01T00:00:00+00:00
6,1,2025-01-01,2944.32,2642.49,3246.15,ARIMA,287.46,246.96,8.57,2024-08-01T00:00:00+00:00
6,1,2025-02-01,2937.13,2620.92,3253.34,ARIMA,287.46,246.96,8.57,2024-08-01T00:00:00+00:00
6,1,2025-03-01,2929.94,2599.36,3260.52,ARIMA,287.46,246.96,8.57,2024-08-01T00:00:00+00:00
6,1,2025-04-01,2922.75,2577.8,3267.7,ARIMA,287.46,246.96,8.57,2024-08-01T00:00:00+00:00
6,1,2025-05-01,2915.56,2556.24,3274.88,ARIMA,287.46,246.96,8.57,2024-08-01T00:00:00+00:00
6,1,2025-06-01,2908.37,2534.67,3282.07,ARIMA,287.46,246.96,8.57,2024-08-01T00:00:00+00:00
6,1,2025-07-01,2901.18,2513.11,3289.25,ARIMA,287.46,246.96,8.57,2024-08-01T00:00:00+00:00
