district_id,PCODE,match
1,NP0101,auto
2,NP0102,auto
3,NP0103,auto
4,NP0104,auto
5,NP0105,auto
6,NP0106,auto
7,NP0107,auto
8,NP0108,auto
9,NP0109,auto
10,NP0110,auto
11,NP0111,auto
12,NP0112,auto
13,NP0113,auto
14,NP0114,auto
15,NP0215,auto
16,NP0216,auto
17,NP0217,auto
18,NP0218,auto
19,NP0219,auto
20,,missing
21,,missing
22,,missing
23,NP0323,auto
24,NP0324,auto
25,NP0325,auto
26,NP0326,auto
27,NP0327,auto
28,NP0328,auto
29,NP0329,auto
30,NP0330,auto
31,NP0331,auto
32,,missing
33,,missing
34,,missing
35,NP0335,auto
36,NP0436,auto
37,NP0437,auto
38,NP0438,auto
39,NP0439,auto
40,NP0440,auto
41,NP0441,auto
42,NP0442,auto
43,NP0443,auto
44,NP0444,auto
45,NP0445,auto
46,,missing
47,NP0547,auto
48,NP0548,auto
49,NP0549,auto
50,NP0550,auto
51,NP0551,auto
52,NP0552,auto
53,,missing
54,NP0554,auto
55,NP0555,auto
56,NP0556,auto
57,NP0557,auto
58,NP0558,auto
59,NP0659,auto
60,NP0660,auto
61,NP0661,auto
62,NP0662,auto
63,NP0663,auto
64,NP0664,auto
65,NP0665,auto
66,NP0666,auto
67,,missing
68,,missing
69,NP0769,auto
70,NP0770,auto
71,NP0771,auto
72,NP0772,auto
73,NP0773,auto
74,NP0774,auto
75,NP0775,auto
76,,missing
77,,missing
